pCa	kfca	IbarNCX	ks	koCa	ec50SR	Vmax_SRCaP	Kmf	Kmr	m	h	j	d	f	fcaBj	fcaBsl	xtos	ytos	xtof	ytof	xkr	xks	RyRr	RyRo	RyRi	NaBj	NaBsl	TnCL	TnCHc	TnCHm	CaM	Myoc	Myom	SRB	SLLj	SLLsl	SLHj	SLHsl	Csqnb	Ca_sr	Naj	Nasl	Nai	Ki	Caj	Casl	Cai	Vm	rtos
1.3562143797	0.7328953497	0.3756370953	0.629537592	1.5320116659	0.7401541917	0.7058815095	1.3899528885	2.8217956503	0.00139300267882995	0.986859920022879	0.991656787080421	7.11129321450885e-06	1.00067941962839	0.0211302284228156	0.0106768178871441	0.00403705749746891	0.520849358452157	0.00403705593715734	0.994580336227828	0.00857987000125255	0.00539529151860174	0.928723553835819	2.75132471891133e-06	2.11146223926533e-07	3.32905633103334	0.726487458753123	0.00760701322821212	0.122774159915065	0.00798815946860525	0.000246924457923351	0.00228193002231354	0.137186538627336	0.00185126606240171	0.00865589321519253	0.00949468982363705	0.0810243570573291	0.110926691176194	1.24286621564581	0.595271672814143	7.85584005879449	7.85649002330507	7.85677672079937	135	0.000206064220753351	0.000102341539338029	7.27403624141393e-05	-85.6229162429263	0.616026510743285
2.1179874468	1.5972751155	1.9576235496	0.4273735719	0.4732567428	0.8801925186	0.9810622614	1.0935084378	2.116984062	0.00134781864506771	0.987426569882652	0.991992937232838	6.8809619390858e-06	1.00067279685473	0.0443685401270872	0.0235376063732975	0.00398446382887305	0.38970006838794	0.00398444750272525	0.99468562184963	0.00835885815675676	0.0055410847656138	0.954907245178268	1.40718618097501e-06	6.64482948492978e-08	3.81413231329512	0.83194378532894	0.00872946659183398	0.126353388869365	0.00627420439571819	0.000288557815965283	0.00300729616663462	0.136448913781351	0.00212704137959702	0.0085339345524071	0.00974641926142713	0.0803486870523485	0.113072736022967	1.58634676886738	1.01723676702407	10.1568740333891	10.154663352449	10.1552140739888	135	0.000203112758547777	0.000105078707035061	8.5168576006973e-05	-85.8204742761252	0.357368407154247
2.3267944254	1.7387139999	0.4641252375	2.8915672683	1.6062683079	1.9591131072	1.4590462827	1.3724393817	1.5971456559	0.00138950510173308	0.986903984680027	0.991683026907485	7.09347945461732e-06	1.0006789063878	0.0581070192953262	0.0286727793741779	0.00403301877879187	0.507014279452082	0.00403302326082429	0.994588509427221	0.00856274752930137	0.00539146661725961	0.788214710255356	1.20361174210392e-06	3.23396074592659e-07	3.42925988719238	0.748244310995345	0.00896398838951502	0.120844374771183	0.00894575882884404	0.000297992961714725	0.00209197290969715	0.137387690580877	0.00218747740230735	0.0103964797185854	0.0110044734363571	0.0901103563242547	0.123527433623304	1.27697204142298	0.627372854236672	8.28815544963182	8.2868626974305	8.28716793374065	135	0.000248291959240797	0.000118769670106006	8.80054043925715e-05	-85.6379640835338	0.537494064189016
1.9381281348	2.3494514808	2.0400328146	0.6322102842	0.8288882823	0.9095465946	1.2700063362	1.1261458758	1.8323183721	0.00137696073000242	0.987061849817926	0.99177677176632	7.02950747577102e-06	1.00067707625638	0.0523206136226307	0.0288708546973314	0.00401848999096528	0.475639188009668	0.00401849372564608	0.994617678089472	0.00850144763549011	0.00538011001501855	0.942179710051847	9.46349208734135e-07	5.80751575250392e-08	3.55485599789723	0.77559989279592	0.00735969046308935	0.115556272256008	0.0114681966949609	0.000238931631375425	0.00161253216648529	0.13787125176575	0.0017956445837615	0.00692776652670134	0.00821784933310769	0.0704468533486447	0.0992169369400181	1.36925827352174	0.723155656284103	8.85794168476338	8.85679688181256	8.85717967379034	135	0.000164403084754565	8.84890613618009e-05	7.03860375951899e-05	-85.6923205916991	0.469329675040716
1.5964963869	1.0621551441	0.5846542797	0.5271010176	1.3223174376	0.4965370878	1.2817664049	1.9043386257	2.9982354555	0.00139049030399739	0.986891598017858	0.991675619056442	7.09848345313281e-06	1.00067905378253	0.0303160545669956	0.0155383970094124	0.00403415768896069	0.508885603633399	0.00403415712506421	0.99458617453053	0.00856759799029631	0.00539251447249437	0.957360611202572	4.18449912299957e-06	1.86352136402082e-07	3.39012637862572	0.739758098002308	0.00794590950646988	0.121526992469458	0.00859647351315864	0.000259711528448184	0.00213266478568229	0.137341093445828	0.001936367030576	0.00865208145235219	0.00961080271771107	0.0810024746540046	0.111875799891261	1.23639180620207	0.589359033079877	8.11676476580166	8.11645388251474	8.11675507774253	135	0.00020597202498212	0.000103605576840873	7.65624512309445e-05	-85.6337338342022	0.554441172449107
1.9452543555	1.85929374	0.4200941748	1.1178335235	0.7681128726	2.205685569	0.503499999	0.5354134482	1.1324444331	0.00139789579748147	0.986798204103947	0.99162016895695	7.1362409526594e-06	1.00068012371153	0.0634374105415497	0.0293301664094486	0.00404268696701533	0.519912673238241	0.00404269143874616	0.994569065398736	0.008603663115268	0.00540197957060083	0.83376337301643	8.8884903467527e-07	1.77218528219053e-07	3.34928519073911	0.730775475251581	0.00816120491477995	0.120117751949051	0.00928123454753173	0.000268137204291644	0.00199416559772884	0.137484003938563	0.00199162354402371	0.0106718966489339	0.01053868100756	0.0914229856280961	0.119700236769429	1.58472247744502	1.01456951696124	7.9425945921973	7.94067753046724	7.94093487333547	135	0.000254999244800811	0.000113698600885067	7.90891418540414e-05	-85.6019027173478	0.598768205645852
1.8588662139	2.3427662835	0.3380041578	1.8467235336	1.4601253647	2.7820561944	2.0752396077	1.5655969497	2.6003039583	0.00140585475915273	0.986697624842995	0.991560381007075	7.17682499047527e-06	1.00068127351427	0.0695425409261054	0.0337220856345367	0.00405182965541268	0.537570931625533	0.00405183492524999	0.994550664433963	0.00864243719886062	0.00541248310345689	0.786685491392548	7.87273611528125e-07	2.13472979155745e-07	3.22116354685166	0.702885597256801	0.00756514126741839	0.111883390832008	0.0132475261860117	0.000246482483639651	0.00141359305692867	0.138076054798867	0.00184653138403251	0.00937338776515452	0.009672942453725	0.0849312146395769	0.112331260262537	1.37283534338612	0.72715835459226	7.41379557550682	7.41324039975031	7.41345545324355	135	0.00022344005650197	0.000104284037114222	7.2637850994697e-05	-85.5678767932654	0.685094628615392
1.3879293357	0.7174395345	0.8243432724	1.5861082881	1.8865797348	2.0092773792	2.2686264894	2.0637489855	2.8346430738	0.00138870257154665	0.98691418705009	0.991689075966154	7.08934894109378e-06	1.00067878965145	0.0197337387498156	0.0103976798869448	0.00403208441263623	0.505303301672713	0.00403208767333572	0.994590376384299	0.00855880698458297	0.00539022495259571	0.826244609448993	9.36648856611769e-07	1.96971634865728e-07	3.42966210982203	0.748354111818954	0.00816842083443978	0.116313032060164	0.0111222567862208	0.00026832342584165	0.00170801560753935	0.137777217016123	0.0019929871167183	0.00825330435060898	0.00949984479828868	0.0787143472859832	0.110846794905691	1.30361116355557	0.653621225883345	8.28957840050836	8.28877169818746	8.28908267924424	135	0.000196334863609607	0.000102402178422908	7.91424938452262e-05	-85.6414591322624	0.545939226696336
1.14829867069994	0.678286080656998	0.337201325646595	2.71398997760003	0.775179560346041	2.87262296649153	1.27210773934445	1.42140307589715	2.50700312958092	0.00140263854200293	0.986738259953182	0.991584521505497	7.16043455414786e-06	1.00068081123845	0.0243259557555969	0.0113547976666318	0.00404814311409247	0.527844295427114	0.00404814621483497	0.994558071567331	0.00862680469586178	0.00540821878272097	0.775294715876846	5.89077804917983e-07	1.7073312715897e-07	3.28695331036485	0.717194614543688	0.00863531372488283	0.117719381022401	0.0104525843424629	0.000285654930097965	0.0018205526721175	0.137664146068953	0.00210714182938834	0.0107651380514279	0.0109738545721335	0.0918622504153368	0.123281057584276	1.48377097021711	0.864026220227603	7.68171437873378	7.68022880786484	7.68045639718521	135	0.000257271127627114	0.00011843611560441	8.43172773199672e-05	-85.5815957684244	0.65903434500606
1.52856038807648	0.42648355408541	0.805572974724738	0.488528218650557	0.868978134085654	1.89999471852539	0.302239746166045	0.58913417212506	1.6881913150571	0.00134773495681732	0.987427452610777	0.991993110362865	6.88054578034607e-06	1.00067281993891	0.0163298681957839	0.00757688344500867	0.00398441060650507	0.435743649518198	0.00398435652345268	0.99468539738009	0.0083588945313872	0.00537498127599463	0.877043142060549	1.86414211045223e-06	2.61338653341438e-07	3.78617192945153	0.826077412365587	0.00906650902053113	0.131626941738928	0.00372449287006787	0.000298960472190263	0.0053810187894889	0.13401928510384	0.00219810785687736	0.0113450664050073	0.0114108942817596	0.0945465756393368	0.127124708650902	1.70081824991941	1.22948668425716	10.0137073515461	10.0117790516659	10.0123243779973	135	0.00027141235132069	0.000123183445530102	8.82177541133405e-05	-85.8208442208733	0.409953815188422
1.61930919721999	0.847955363930564	0.314613714202892	2.50417437311724	2.42151508611063	2.7653609238217	1.3417420561526	2.10510444425473	2.89006975471362	0.00139518852719239	0.986832348169732	0.99164040360849	7.12243822255669e-06	1.00067973667536	0.0293411941001438	0.014424926391216	0.004039576810661	0.522753406285408	0.00403957533204562	0.994575270779836	0.00859053196490116	0.00539828258512525	0.751647117286426	1.42838140646505e-06	4.71950967073824e-07	3.34079143449765	0.728992502304096	0.00894666640100134	0.122350471247822	0.00821669778867026	0.000296781539319532	0.00229925699097968	0.137175301483006	0.0021804814617526	0.0104405346241651	0.01114907591739	0.0903243248749451	0.124766468698913	1.22351976339558	0.577769267638145	7.90600759575626	7.90560538148615	7.90587632708276	135	0.000249364085772876	0.000120341856327477	8.76279156168901e-05	-85.6135201635805	0.621042373241167
